Name;ESR_BC_1_359s_Y_gon_60dg_4

Recipe
Accumulations;5;Number of accumulations
RetryCount;0;Number of retries on error
AbortOnError;True;Abort on error
EnableQFactorMeasurement;False;Enable/Disable q-Factor measurement
Bfrom;313;B from
Bto;363;B to
SweepTime;60;Sweep time
Modulation;0.2;Modulation
ModulationFreq;100;Modulation
BHoldEnabled;False;B hold enabled
BHold;0;B hold
MicrowavePower;2;Microwave power
MarkerEnabled;False;
MarkerStartField;0;
MarkerEndField;0;
Mode;;
KineticGFact;0;
KineticTotalTransientTime;0;
KineticTimeResolution;0;
TempFrom;5;
TempUseSlope;False;
TempTo;5;
TempdT;1;
TempSetupTime;0;
GonFrom;0;
GonTo;180;
GonSteps;20;
XRayEnabled;False;
XRayTime;3;
XRayVoltage;40;
XRayCurrent;0.5;
UVEnabled;False;
UVIntensity;0;
UVTime;0;
UVLeadTime;0;
UVWavelength;0;
PowSweepFrom;1;
PowSweepTo;5;
PowSweepSteps;5;
AmpModSweepFrom;0;
AmpModSweepTo;1;
AmpModSweepSteps;10;
ExtTriggerEnabled;False;
ExtTrigLeadTime;0;
ExtTrigOnTime;5;

Meas
BField [mT];MW_Absorption []
313.018323898315;181.826888281912
313.039941959356;181.173228409003
313.061560020397;180.491706757812
313.083178081438;179.6847616831
313.104796142479;178.712548989983
313.12641420352;177.682503485226
313.148032264561;176.642633296204
313.169650325602;175.514862248769
313.191268386643;174.201598074956
313.212886447684;172.642015923082
313.234504508725;171.011670029744
313.256122569765;169.451763613296
313.277740630806;168.052375680132
313.299358691847;166.863429453408
313.320976752888;165.83174083643
313.342594813929;164.909440949996
313.36421287497;164.12538044478
313.385830936011;163.494265340833
313.407448997052;162.994995551978
313.429067058093;162.628886004406
313.450685119134;162.40280409688
313.472303180175;162.283409330654
313.493921241216;162.234888092306
313.515539302256;162.22568478046
313.537157363297;162.224183843079
313.558775424338;162.202782620596
313.580393485379;162.134394164801
313.60201154642;161.986874435978
313.623629607461;161.719136713232
313.645247668502;161.347456799327
313.666865729543;160.933049777136
313.688483790584;160.484108801834
313.710101851625;159.978992641951
313.731719912666;159.421760734016
313.753337973706;158.884088521071
313.774956034747;158.416201751133
313.796574095788;158.0174051387
313.818192156829;157.672013844431
313.83981021787;157.367140132193
313.861428278911;157.107840802016
313.883046339952;156.88795758973
313.904664400993;156.693213457391
313.926282462034;156.514372159167
313.947900523075;156.333937528182
313.969518584116;156.124956800104
313.991136645157;155.860523292805
314.012754706197;155.53046533877
314.034372767238;155.128443376956
314.055990828279;154.626032990288
314.07760888932;154.02686863886
314.099226950361;153.404759063721
314.120845011402;152.788356237332
314.142463072443;152.159274710406
314.164081133484;151.502662087934
314.185699194525;150.829230460282
314.207317255566;150.16563542318
314.228935316607;149.518904833247
314.250553377648;148.884884406689
314.272171438688;148.255866367264
314.293789499729;147.619201327236
314.31540756077;146.976696237949
314.337025621811;146.324084962499
314.358643682852;145.684683734483
314.380261743893;145.105160435344
314.401879804934;144.564586994268
314.423497865975;144.022151265862
314.445115927016;143.467614359613
314.466733988057;142.91614544343
314.488352049098;142.341252188797
314.509970110138;141.701270475436
314.531588171179;141.015429430581
314.55320623222;140.316240856152
314.574824293261;139.611009207987
314.596442354302;138.918610080723
314.618060415343;138.228947873853
314.639678476384;137.485334194125
314.661296537425;136.652089193527
314.682914598466;135.75952128032
314.704532659507;134.87794044876
314.726150720548;134.034095822874
314.747768781589;133.260069453379
314.769386842629;132.596645478501
314.79100490367;132.002736855872
314.812622964711;131.420632333725
314.834241025752;130.846636985695
314.855859086793;130.344220831914
314.877477147834;129.922871105489
314.899095208875;129.563491831931
314.920713269916;129.245381214898
314.942331330957;128.956010132641
314.963949391998;128.716559520639
314.985567453039;128.5320870576
315.007185514079;128.377168860786
315.02880357512;128.230943287384
315.050421636161;128.082530079918
315.072039697202;127.93642968695
315.093657758243;127.787130261261
315.115275819284;127.623003164297
315.136893880325;127.434312985161
315.158511941366;127.228136188398
315.180130002407;127.027451736761
315.201748063448;126.833411456098
315.223366124489;126.631988062912
315.24498418553;126.411491513497
